series,level,date,value
Visitor Days,group,2022-11,3385006
Visitor Days,group,2022-12,3878408
Visitor Days,group,2023-01,4026059
Visitor Days,group,2023-02,3628132
Visitor Days,group,2023-03,3879855
Visitor Days,group,2023-04,4237906
Visitor Days,group,2023-05,4286895
Visitor Days,group,2023-06,4520727
Visitor Days,group,2023-07,5422959
Visitor Days,group,2023-08,5253911
Visitor Days,group,2023-09,4131749
Visitor Days,group,2023-10,4001212
Visitor Days,group,2023-11,3759448
Visitor Days,group,2023-12,4371255
Visitor Days,group,2024-01,4962366
Visitor Days,group,2024-02,4966961
Visitor Days,group,2024-03,4890228
Visitor Days,group,2024-04,4611465
Visitor Days,group,2024-05,4727884
Visitor Days,group,2024-06,4746118
Visitor Days,group,2024-07,5873058
Visitor Days,group,2024-08,5693630
Visitor Days,group,2024-09,4516737
Visitor Days,group,2024-10,4583555
Visitor Days,group,2024-11,4367153
Visitor Days,group,2024-12,4865226
Visitor Days,group,2025-01,5753419
Visitor Days,group,2025-02,4773408
Visitor Days,group,2025-03,4491809
Visitor Days,group,2025-04,4815795
Visitor Days,group,2025-05,4892096
Visitor Days,group,2025-06,4614289
Visitor Days,group,2025-07,5869034
Visitor Days,group,2025-08,5806895
Visitor Days,group,2025-09,4247241
Visitor Days,group,2025-10,4657563
Visitor Days,group,2025-11,4266121
Visitor Days,group,2025-12,4736112
Visitor Days,group,2026-01,5158702
Visitor Days,group,2026-02,5083667
Visitor Days,group,2026-03,4721699
Visitor Days,group,2026-04,4472145
Visitor Days,group,2026-05,4472145
Visitor Days,group,2026-06,4440544
