series,level,date,value
Other Components,group,2011Q1,1407
Other Components,group,2011Q2,2803
Other Components,group,2011Q3,4416
Other Components,group,2011Q4,5768
Other Components,group,2012Q1,1467
Other Components,group,2012Q2,2901
Other Components,group,2012Q3,4489
Other Components,group,2012Q4,5970
Other Components,group,2013Q1,1373
Other Components,group,2013Q2,2798
Other Components,group,2013Q3,4453
Other Components,group,2013Q4,5819
Other Components,group,2014Q1,1558
Other Components,group,2014Q2,2957
Other Components,group,2014Q3,4546
Other Components,group,2014Q4,6049
Other Components,group,2015Q1,1356
Other Components,group,2015Q2,2628
Other Components,group,2015Q3,4301
Other Components,group,2015Q4,5772
Other Components,group,2016Q1,1394
Other Components,group,2016Q2,2855
Other Components,group,2016Q3,4385
Other Components,group,2016Q4,5739
Other Components,group,2017Q1,1475
Other Components,group,2017Q2,2966
Other Components,group,2017Q3,4774
Other Components,group,2017Q4,6352
Other Components,group,2018Q1,1834
Other Components,group,2018Q2,3627
Other Components,group,2018Q3,5749
Other Components,group,2018Q4,7440
Other Components,group,2019Q1,1929
Other Components,group,2019Q2,3770
Other Components,group,2019Q3,6024
Other Components,group,2019Q4,8026
Other Components,group,2020Q1,1278
Other Components,group,2020Q2,1396
Other Components,group,2020Q3,1534
Other Components,group,2020Q4,1700
Other Components,group,2021Q1,162
Other Components,group,2021Q2,324
Other Components,group,2021Q3,477
Other Components,group,2021Q4,723
Other Components,group,2022Q1,431
Other Components,group,2022Q2,1509
Other Components,group,2022Q3,3076
Other Components,group,2022Q4,4812
Other Components,group,2023Q1,2036
Other Components,group,2023Q2,4116
Other Components,group,2023Q3,6557
Other Components,group,2023Q4,8690
Other Components,group,2024Q1,2386
Other Components,group,2024Q2,4538
Other Components,group,2024Q3,6866
Other Components,group,2024Q4,9104
Other Components,group,2025Q1,2511
Other Components,group,2025Q2,4829
Other Components,group,2025Q3,7367
Other Components,group,2025Q4,9871
Other Components,group,2026Q1,2544
Shopping,group,2008Q1,1069
Shopping,group,2008Q2,2004
Shopping,group,2008Q3,2970
Shopping,group,2008Q4,3982
Shopping,group,2009Q1,852
Shopping,group,2009Q2,1619
Shopping,group,2009Q3,2448
Shopping,group,2009Q4,3377
Shopping,group,2010Q1,942
Shopping,group,2010Q2,1897
Shopping,group,2010Q3,2898
Shopping,group,2010Q4,3971
Shopping,group,2011Q1,1039
Shopping,group,2011Q2,2081
Shopping,group,2011Q3,3267
Shopping,group,2011Q4,4489
Shopping,group,2012Q1,1207
Shopping,group,2012Q2,2305
Shopping,group,2012Q3,3398
Shopping,group,2012Q4,4588
Shopping,group,2013Q1,1175
Shopping,group,2013Q2,2356
Shopping,group,2013Q3,3482
Shopping,group,2013Q4,4553
Shopping,group,2014Q1,1088
Shopping,group,2014Q2,2049
Shopping,group,2014Q3,3141
Shopping,group,2014Q4,4116
Shopping,group,2015Q1,961
Shopping,group,2015Q2,1880
Shopping,group,2015Q3,2920
Shopping,group,2015Q4,3913
Shopping,group,2016Q1,1176
Shopping,group,2016Q2,2716
Shopping,group,2016Q3,4355
Shopping,group,2016Q4,5958
Shopping,group,2017Q1,1611
Shopping,group,2017Q2,3209
Shopping,group,2017Q3,4727
Shopping,group,2017Q4,6172
Shopping,group,2018Q1,1470
Shopping,group,2018Q2,2716
Shopping,group,2018Q3,4053
Shopping,group,2018Q4,5385
Shopping,group,2019Q1,1371
Shopping,group,2019Q2,2757
Shopping,group,2019Q3,4183
Shopping,group,2019Q4,5640
Shopping,group,2020Q1,656
Shopping,group,2020Q2,664
Shopping,group,2020Q3,675
Shopping,group,2020Q4,703
Shopping,group,2021Q1,45
Shopping,group,2021Q2,87
Shopping,group,2021Q3,118
Shopping,group,2021Q4,174
Shopping,group,2022Q1,211
Shopping,group,2022Q2,900
Shopping,group,2022Q3,1745
Shopping,group,2022Q4,2784
Shopping,group,2023Q1,1098
