angle,scenario,realization_factor,uplift_pp,incremental_visitors
POI trend,Low,0.25,1.012499999999977,151405.9841973486
POI trend,Base,0.5,2.024999999999954,302811.9683946972
POI trend,High,1.0,4.049999999999908,605623.9367893944
Arrival weighted,Low,0.25,0.9705630252016233,145134.86425304806
Arrival weighted,Base,0.5,1.9411260504032466,290269.7285060961
Arrival weighted,High,1.0,3.882252100806493,580539.4570121922
Purchasing-power adjusted,Low,0.25,0.9719771627181377,145346.32981598953
Purchasing-power adjusted,Base,0.5,1.9439543254362754,290692.65963197907
Purchasing-power adjusted,High,1.0,3.887908650872551,581385.3192639581
