year,region,residence,metric,unit,value
2024,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Others,%,1.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,21.0
2024,AFRICA,South Africa (Rep of),"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,4.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,37.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,50.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Others,%,13.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,26.0
2024,AFRICA,South Africa (Rep of),"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,6.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,31.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,21.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,14.0
2024,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Others,%,2.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,50.0
2024,REMAINING,Others,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,27.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,33.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,5.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Others,%,7.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,54.0
2024,REMAINING,Others,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,11.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,8.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,5.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,10.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2024,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Others,%,4.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,47.0
2023,SOUTHEAST ASIA,Indonesia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,52.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,16.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Others,%,6.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,54.0
2023,SOUTHEAST ASIA,Indonesia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,13.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,14.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,5.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,2.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2023,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Others,%,4.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,38.0
2023,SOUTHEAST ASIA,Malaysia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,16.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,43.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,21.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,2.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Others,%,10.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,47.0
2023,SOUTHEAST ASIA,Malaysia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,15.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,15.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,8.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,4.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,2.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,3.0
2023,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Others,%,7.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,52.0
2023,SOUTHEAST ASIA,Philippines,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,44.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,35.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,4.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Others,%,8.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,50.0
2023,SOUTHEAST ASIA,Philippines,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,11.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,11.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,7.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,3.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2023,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Amount spent | Others,%,5.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,48.0
2023,SOUTHEAST ASIA,Thailand,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,50.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,23.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Popularity | Others,%,11.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,57.0
2023,SOUTHEAST ASIA,Thailand,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,15.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,8.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,1.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,3.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2023,SOUTHEAST ASIA,Thailand,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,51.0
2023,SOUTHEAST ASIA,Vietnam,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,31.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,36.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,28.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Popularity | Others,%,11.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,45.0
2023,SOUTHEAST ASIA,Vietnam,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,7.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,3.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,9.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2023,SOUTHEAST ASIA,Vietnam,Shopping Items Purchased in terms of Amount spent | Others,%,7.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,33.0
2023,GREATER CHINA,China,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,37.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,44.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,24.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,3.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Popularity | Others,%,16.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,49.0
2023,GREATER CHINA,China,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,9.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,6.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,4.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,3.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,4.0
2023,GREATER CHINA,China,Shopping Items Purchased in terms of Amount spent | Others,%,7.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,30.0
2023,GREATER CHINA,Hong Kong SAR,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,16.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,56.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,26.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Popularity | Others,%,13.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,45.0
2023,GREATER CHINA,Hong Kong SAR,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,11.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,19.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,9.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,2.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,3.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,3.0
2023,GREATER CHINA,Hong Kong SAR,Shopping Items Purchased in terms of Amount spent | Others,%,9.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,41.0
2023,GREATER CHINA,Taiwan,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,58.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,31.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,2.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Popularity | Others,%,9.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,51.0
2023,GREATER CHINA,Taiwan,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,7.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,19.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,8.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,8.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,2.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.0
2023,GREATER CHINA,Taiwan,Shopping Items Purchased in terms of Amount spent | Others,%,4.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,29.0
2023,NORTH ASIA,Japan,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,48.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,34.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Popularity | Others,%,10.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,33.0
2023,NORTH ASIA,Japan,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,8.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,22.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,18.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,4.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,2.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2023,NORTH ASIA,Japan,Shopping Items Purchased in terms of Amount spent | Others,%,12.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,37.0
2023,NORTH ASIA,South Korea,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,19.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,55.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,33.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,1.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Popularity | Others,%,16.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,43.0
2023,NORTH ASIA,South Korea,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,7.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,20.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,12.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,3.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,1.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2023,NORTH ASIA,South Korea,Shopping Items Purchased in terms of Amount spent | Others,%,12.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,42.0
2023,SOUTH ASIA,India,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,22.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,49.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,30.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,9.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,5.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Others,%,12.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,26.0
2023,SOUTH ASIA,India,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,14.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,7.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,16.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,20.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.0
2023,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Others,%,5.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,31.0
2023,EUROPE,France,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,5.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,21.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,52.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,5.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2023,EUROPE,France,Shopping Items Purchased in terms of Popularity | Others,%,6.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,35.0
2023,EUROPE,France,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,4.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,7.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,24.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,12.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,4.0
2023,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Others,%,8.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,40.0
2023,EUROPE,Germany,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,7.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,27.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,36.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,4.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Others,%,8.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,56.0
2023,EUROPE,Germany,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,6.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,11.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,1.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,9.0
2023,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Others,%,8.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,33.0
2023,EUROPE,Italy,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,3.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,26.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,48.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,5.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,5.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Others,%,3.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,55.0
2023,EUROPE,Italy,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,1.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,15.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,18.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,10.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,1.0
2023,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Others,%,1.0
2023,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,45.0
2023,EUROPE,Netherlands,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,7.0
2023,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,25.0
2023,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,37.0
2023,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.0
2023,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Others,%,3.0
