year,region,residence,metric,unit,value
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.705061985451306
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.1784553486161866
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0151170078003275
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,7.5107726027697534
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,45.2206946023687
2019,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.841439849088843
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,9.571489707791502
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,6.0185507784841
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.286791494729882
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,4.284095619357258
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,4.166742302185171
2019,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,3.610195645994557
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,46.0
2018,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,27.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,42.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,31.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,4.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,3.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,11.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,42.0
2018,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,20.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,11.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,7.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,4.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,5.0
2018,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,54.0
2017,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,36.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,47.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,41.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,4.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,5.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,15.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,40.0
2017,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,18.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,11.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,10.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,5.0
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,4.0
