series,level,date,value
15-19 Years,group,2023-09,28350
15-19 Years,group,2023-10,33748
15-19 Years,group,2023-11,27928
15-19 Years,group,2023-12,55902
15-19 Years,group,2024-01,55516
15-19 Years,group,2024-02,45851
15-19 Years,group,2024-03,45424
15-19 Years,group,2024-04,42753
15-19 Years,group,2024-05,36671
15-19 Years,group,2024-06,62637
15-19 Years,group,2024-07,111938
15-19 Years,group,2024-08,85775
15-19 Years,group,2024-09,34020
15-19 Years,group,2024-10,44107
15-19 Years,group,2024-11,34425
15-19 Years,group,2024-12,66342
15-19 Years,group,2025-01,74039
15-19 Years,group,2025-02,45750
15-19 Years,group,2025-03,39630
15-19 Years,group,2025-04,49407
15-19 Years,group,2025-05,42050
15-19 Years,group,2025-06,64520
15-19 Years,group,2025-07,119663
15-19 Years,group,2025-08,94143
15-19 Years,group,2025-09,35525
15-19 Years,group,2025-10,48230
15-19 Years,group,2025-11,39918
15-19 Years,group,2025-12,67423
15-19 Years,group,2026-01,64338
15-19 Years,group,2026-02,59712
15-19 Years,group,2026-03,49951
15-19 Years,group,2026-04,40659
15-19 Years,group,2026-05,38548
15-19 Years,group,2026-06,60575
20-24 Years,group,2008-01,64999
20-24 Years,group,2008-02,60680
20-24 Years,group,2008-03,61040
20-24 Years,group,2008-04,51674
20-24 Years,group,2008-05,57002
20-24 Years,group,2008-06,63928
20-24 Years,group,2008-07,79156
20-24 Years,group,2008-08,72037
20-24 Years,group,2008-09,61250
20-24 Years,group,2008-10,58077
20-24 Years,group,2008-11,54097
20-24 Years,group,2008-12,75030
20-24 Years,group,2009-01,56822
20-24 Years,group,2009-02,54288
20-24 Years,group,2009-03,51922
20-24 Years,group,2009-04,48774
20-24 Years,group,2009-05,50387
20-24 Years,group,2009-06,57829
20-24 Years,group,2009-07,74385
20-24 Years,group,2009-08,70810
20-24 Years,group,2009-09,62629
20-24 Years,group,2009-10,56676
20-24 Years,group,2009-11,57218
20-24 Years,group,2009-12,76892
20-24 Years,group,2010-01,65892
20-24 Years,group,2010-02,61865
20-24 Years,group,2010-03,60207
20-24 Years,group,2010-04,55605
20-24 Years,group,2010-05,61959
20-24 Years,group,2010-06,65082
20-24 Years,group,2010-07,84146
20-24 Years,group,2010-08,79045
20-24 Years,group,2010-09,69641
20-24 Years,group,2010-10,63602
20-24 Years,group,2010-11,63027
20-24 Years,group,2010-12,83600
20-24 Years,group,2011-01,74506
20-24 Years,group,2011-02,69573
20-24 Years,group,2011-03,66747
20-24 Years,group,2011-04,63711
20-24 Years,group,2011-05,66713
20-24 Years,group,2011-06,73709
20-24 Years,group,2011-07,98949
20-24 Years,group,2011-08,92871
20-24 Years,group,2011-09,77793
20-24 Years,group,2011-10,70497
20-24 Years,group,2011-11,68325
20-24 Years,group,2011-12,92406
20-24 Years,group,2012-01,84079
20-24 Years,group,2012-02,85617
20-24 Years,group,2012-03,75010
20-24 Years,group,2012-04,69814
20-24 Years,group,2012-05,74951
20-24 Years,group,2012-06,81911
20-24 Years,group,2012-07,99793
20-24 Years,group,2012-08,103976
20-24 Years,group,2012-09,81004
20-24 Years,group,2012-10,76866
20-24 Years,group,2012-11,80536
20-24 Years,group,2012-12,100716
20-24 Years,group,2013-01,96847
20-24 Years,group,2013-02,87694
20-24 Years,group,2013-03,84020
20-24 Years,group,2013-04,70791
20-24 Years,group,2013-05,79717
20-24 Years,group,2013-06,89065
20-24 Years,group,2013-07,110234
20-24 Years,group,2013-08,117354
20-24 Years,group,2013-09,89118
20-24 Years,group,2013-10,78004
20-24 Years,group,2013-11,77197
20-24 Years,group,2013-12,99581
20-24 Years,group,2014-01,97818
20-24 Years,group,2014-02,91093
20-24 Years,group,2014-03,80844
20-24 Years,group,2014-04,73347
20-24 Years,group,2014-05,81960
20-24 Years,group,2014-06,86220
20-24 Years,group,2014-07,112592
20-24 Years,group,2014-08,109775
20-24 Years,group,2014-09,84021
20-24 Years,group,2014-10,76597
20-24 Years,group,2014-11,73071
20-24 Years,group,2014-12,97897
20-24 Years,group,2015-01,91577
20-24 Years,group,2015-02,83588
20-24 Years,group,2015-03,75694
20-24 Years,group,2015-04,68571
20-24 Years,group,2015-05,80471
20-24 Years,group,2015-06,85015
20-24 Years,group,2015-07,120068
20-24 Years,group,2015-08,116219
20-24 Years,group,2015-09,85772
20-24 Years,group,2015-10,77497
20-24 Years,group,2015-11,75163
20-24 Years,group,2015-12,99027
20-24 Years,group,2016-01,105460
20-24 Years,group,2016-02,94991
20-24 Years,group,2016-03,86912
20-24 Years,group,2016-04,74862
20-24 Years,group,2016-05,86320
20-24 Years,group,2016-06,90968
20-24 Years,group,2016-07,127175
20-24 Years,group,2016-08,118869
20-24 Years,group,2016-09,86706
20-24 Years,group,2016-10,77843
20-24 Years,group,2016-11,77853
20-24 Years,group,2016-12,104051
20-24 Years,group,2017-01,100621
20-24 Years,group,2017-02,97903
20-24 Years,group,2017-03,90847
20-24 Years,group,2017-04,82805
20-24 Years,group,2017-05,84214
20-24 Years,group,2017-06,100600
20-24 Years,group,2017-07,125434
20-24 Years,group,2017-08,121838
20-24 Years,group,2017-09,95416
20-24 Years,group,2017-10,82868
20-24 Years,group,2017-11,83729
20-24 Years,group,2017-12,102656
20-24 Years,group,2018-01,106183
20-24 Years,group,2018-02,98803
