series,level,freq,date,value
1 Day (Number),group,monthly,2017-09,258224.0
1 Day (Number),group,monthly,2017-10,282083.0
1 Day (Number),group,monthly,2017-11,314771.0
1 Day (Number),group,monthly,2017-12,303365.0
1 Day (Number),group,monthly,2018-01,328657.0
1 Day (Number),group,monthly,2018-02,298754.0
1 Day (Number),group,monthly,2018-03,332478.0
1 Day (Number),group,monthly,2018-04,320911.0
1 Day (Number),group,monthly,2018-05,291589.0
1 Day (Number),group,monthly,2018-06,285103.0
1 Day (Number),group,monthly,2018-07,321463.0
1 Day (Number),group,monthly,2018-08,316223.0
1 Day (Number),group,monthly,2018-09,270474.0
1 Day (Number),group,monthly,2018-10,287839.0
1 Day (Number),group,monthly,2018-11,291359.0
1 Day (Number),group,monthly,2018-12,278586.0
1 Day (Number),group,monthly,2019-01,322885.0
1 Day (Number),group,monthly,2019-02,282718.0
1 Day (Number),group,monthly,2019-03,351754.0
1 Day (Number),group,monthly,2019-04,322123.0
1 Day (Number),group,monthly,2019-05,294671.0
1 Day (Number),group,monthly,2019-06,291485.0
1 Day (Number),group,monthly,2019-07,319450.0
1 Day (Number),group,monthly,2019-08,307514.0
1 Day (Number),group,monthly,2019-09,270271.0
1 Day (Number),group,monthly,2019-10,284422.0
1 Day (Number),group,monthly,2019-11,308455.0
1 Day (Number),group,monthly,2019-12,312169.0
1 Day (Number),group,monthly,2020-01,314689.0
1 Day (Number),group,monthly,2020-02,122319.0
1 Day (Number),group,monthly,2020-03,39543.0
1 Day (Number),group,monthly,2020-04,8.0
1 Day (Number),group,monthly,2020-05,8.0
1 Day (Number),group,monthly,2020-06,13.0
1 Day (Number),group,monthly,2020-07,22.0
1 Day (Number),group,monthly,2020-08,20.0
1 Day (Number),group,monthly,2020-09,43.0
1 Day (Number),group,monthly,2020-10,46.0
1 Day (Number),group,monthly,2020-11,59.0
1 Day (Number),group,monthly,2020-12,85.0
1 Day (Number),group,monthly,2021-01,102.0
1 Day (Number),group,monthly,2021-02,36.0
1 Day (Number),group,monthly,2021-03,70.0
1 Day (Number),group,monthly,2021-04,71.0
1 Day (Number),group,monthly,2021-05,58.0
1 Day (Number),group,monthly,2021-06,50.0
1 Day (Number),group,monthly,2021-07,111.0
1 Day (Number),group,monthly,2021-08,85.0
1 Day (Number),group,monthly,2021-09,97.0
1 Day (Number),group,monthly,2021-10,100.0
1 Day (Number),group,monthly,2021-11,231.0
1 Day (Number),group,monthly,2021-12,543.0
1 Day (Number),group,monthly,2022-01,491.0
1 Day (Number),group,monthly,2022-02,691.0
1 Day (Number),group,monthly,2022-03,2845.0
1 Day (Number),group,monthly,2022-04,19163.0
1 Day (Number),group,monthly,2022-05,38347.0
1 Day (Number),group,monthly,2022-06,59305.0
1 Day (Number),group,monthly,2022-07,88057.0
1 Day (Number),group,monthly,2022-08,96875.0
1 Day (Number),group,monthly,2022-09,97686.0
1 Day (Number),group,monthly,2022-10,102077.0
1 Day (Number),group,monthly,2022-11,108266.0
1 Day (Number),group,monthly,2022-12,114672.0
1 Day (Number),group,monthly,2023-01,138290.0
1 Day (Number),group,monthly,2023-02,139120.0
1 Day (Number),group,monthly,2023-03,149809.0
1 Day (Number),group,monthly,2023-04,161764.0
1 Day (Number),group,monthly,2023-05,162630.0
1 Day (Number),group,monthly,2023-06,158239.0
1 Day (Number),group,monthly,2023-07,202319.0
1 Day (Number),group,monthly,2023-08,190444.0
1 Day (Number),group,monthly,2023-09,166190.0
1 Day (Number),group,monthly,2023-10,175731.0
1 Day (Number),group,monthly,2023-11,181139.0
1 Day (Number),group,monthly,2023-12,189997.0
1 Day (Number),group,monthly,2024-01,243774.0
1 Day (Number),group,monthly,2024-02,234921.0
1 Day (Number),group,monthly,2024-03,261132.0
1 Day (Number),group,monthly,2024-04,239083.0
1 Day (Number),group,monthly,2024-05,209205.0
1 Day (Number),group,monthly,2024-06,197601.0
1 Day (Number),group,monthly,2024-07,240993.0
1 Day (Number),group,monthly,2024-08,238218.0
1 Day (Number),group,monthly,2024-09,194625.0
1 Day (Number),group,monthly,2024-10,212394.0
1 Day (Number),group,monthly,2024-11,205011.0
1 Day (Number),group,monthly,2024-12,211324.0
1 Day (Number),group,monthly,2025-01,263633.0
1 Day (Number),group,monthly,2025-02,227912.0
1 Day (Number),group,monthly,2025-03,213020.0
1 Day (Number),group,monthly,2025-04,218019.0
