series,level,date,value
Sea,group,2013-03,154098
Sea,group,2013-04,112681
Sea,group,2013-05,135220
Sea,group,2013-06,167157
Sea,group,2013-07,110483
Sea,group,2013-08,138380
Sea,group,2013-09,135986
Sea,group,2013-10,128425
Sea,group,2013-11,167761
Sea,group,2013-12,213518
Sea,group,2014-01,134282
Sea,group,2014-02,123610
Sea,group,2014-03,153139
Sea,group,2014-04,130930
Sea,group,2014-05,135576
Sea,group,2014-06,171416
Sea,group,2014-07,119015
Sea,group,2014-08,122282
Sea,group,2014-09,132786
Sea,group,2014-10,143085
Sea,group,2014-11,155591
Sea,group,2014-12,217215
Sea,group,2015-01,126294
Sea,group,2015-02,131763
Sea,group,2015-03,142667
Sea,group,2015-04,133031
Sea,group,2015-05,156943
Sea,group,2015-06,159633
Sea,group,2015-07,121179
Sea,group,2015-08,142464
Sea,group,2015-09,138386
Sea,group,2015-10,125736
Sea,group,2015-11,153724
Sea,group,2015-12,222134
Sea,group,2016-01,128774
Sea,group,2016-02,143784
Sea,group,2016-03,154250
Sea,group,2016-04,139740
Sea,group,2016-05,145291
Sea,group,2016-06,151025
Sea,group,2016-07,113260
Sea,group,2016-08,110631
Sea,group,2016-09,132526
Sea,group,2016-10,132190
Sea,group,2016-11,141370
Sea,group,2016-12,210771
Sea,group,2017-01,131718
Sea,group,2017-02,106334
Sea,group,2017-03,154569
Sea,group,2017-04,152812
Sea,group,2017-05,130306
Sea,group,2017-06,151107
Sea,group,2017-07,123058
Sea,group,2017-08,134304
Sea,group,2017-09,144471
Sea,group,2017-10,137354
Sea,group,2017-11,166452
Sea,group,2017-12,255680
Sea,group,2018-01,119197
Sea,group,2018-02,140733
Sea,group,2018-03,194203
Sea,group,2018-04,141580
Sea,group,2018-05,153391
Sea,group,2018-06,181906
Sea,group,2018-07,143786
Sea,group,2018-08,163421
Sea,group,2018-09,169828
Sea,group,2018-10,161068
Sea,group,2018-11,182201
Sea,group,2018-12,265635
Sea,group,2019-01,132346
Sea,group,2019-02,157335
Sea,group,2019-03,192461
Sea,group,2019-04,161500
Sea,group,2019-05,158240
Sea,group,2019-06,205336
Sea,group,2019-07,153040
Sea,group,2019-08,188692
Sea,group,2019-09,168066
Sea,group,2019-10,169251
Sea,group,2019-11,198224
Sea,group,2019-12,241936
Sea,group,2020-01,165120
Sea,group,2020-02,83663
Sea,group,2020-03,38082
Sea,group,2020-04,81
Sea,group,2020-05,52
Sea,group,2020-06,129
Sea,group,2020-07,153
Sea,group,2020-08,142
Sea,group,2020-09,132
Sea,group,2020-10,200
Sea,group,2020-11,9359
Sea,group,2020-12,27363
Sea,group,2021-01,15170
Sea,group,2021-02,20339
Sea,group,2021-03,30176
Sea,group,2021-04,24939
Sea,group,2021-05,18833
Sea,group,2021-06,19557
Sea,group,2021-07,18164
Sea,group,2021-08,19216
Sea,group,2021-09,33919
Sea,group,2021-10,31392
Sea,group,2021-11,35113
Sea,group,2021-12,40123
Sea,group,2022-01,33036
Sea,group,2022-02,28086
Sea,group,2022-03,15566
Sea,group,2022-04,22959
Sea,group,2022-05,34462
Sea,group,2022-06,68267
Sea,group,2022-07,81220
Sea,group,2022-08,86136
Sea,group,2022-09,120655
Sea,group,2022-10,121664
Sea,group,2022-11,125701
Sea,group,2022-12,198508
Sea,group,2023-01,117971
Sea,group,2023-02,86363
Sea,group,2023-03,131444
Sea,group,2023-04,113397
Sea,group,2023-05,101972
Sea,group,2023-06,174853
Sea,group,2023-07,116840
Sea,group,2023-08,108233
Sea,group,2023-09,130654
Sea,group,2023-10,106989
Sea,group,2023-11,141121
Sea,group,2023-12,190582
Sea,group,2024-01,100815
Sea,group,2024-02,117631
Sea,group,2024-03,141688
Sea,group,2024-04,85639
Sea,group,2024-05,111355
Sea,group,2024-06,151976
Sea,group,2024-07,104422
Sea,group,2024-08,129569
Sea,group,2024-09,114553
Sea,group,2024-10,115279
Sea,group,2024-11,132217
Sea,group,2024-12,191412
Sea,group,2025-01,134517
Sea,group,2025-02,114454
Sea,group,2025-03,146270
Sea,group,2025-04,121382
Sea,group,2025-05,145843
Sea,group,2025-06,186131
Sea,group,2025-07,129823
Sea,group,2025-08,153186
Sea,group,2025-09,140391
Sea,group,2025-10,152624
Sea,group,2025-11,170039
Sea,group,2025-12,229979
Sea,group,2026-01,150453
Sea,group,2026-02,141450
Sea,group,2026-03,152330
Sea,group,2026-04,128408
Sea,group,2026-05,156281
Sea,group,2026-06,196650
Total,total,2011-01,519371
Total,total,2011-02,552139
Total,total,2011-03,631472
Total,total,2011-04,589780
Total,total,2011-05,658311
Total,total,2011-06,762285
Total,total,2011-07,592057
Total,total,2011-08,537969
Total,total,2011-09,624327
Total,total,2011-10,615413
Total,total,2011-11,739630
Total,total,2011-12,930172
Total,total,2012-01,575380
Total,total,2012-02,528376
Total,total,2012-03,687345
Total,total,2012-04,618408
Total,total,2012-05,672397
Total,total,2012-06,785014
Total,total,2012-07,567318
Total,total,2012-08,573261
Total,total,2012-09,615076
Total,total,2012-10,660133
Total,total,2012-11,795232
Total,total,2012-12,969868
Total,total,2013-01,534554
Total,total,2013-02,586868
Total,total,2013-03,737164
Total,total,2013-04,605614
Total,total,2013-05,697209
Total,total,2013-06,870655
Total,total,2013-07,587318
Total,total,2013-08,639716
Total,total,2013-09,697010
Total,total,2013-10,717544
Total,total,2013-11,895821
Total,total,2013-12,1077593
Total,total,2014-01,626646
Total,total,2014-02,572401
Total,total,2014-03,757244
Total,total,2014-04,670221
Total,total,2014-05,730861
Total,total,2014-06,896499
Total,total,2014-07,606034
Total,total,2014-08,617255
Total,total,2014-09,713298
Total,total,2014-10,757472
Total,total,2014-11,872185
Total,total,2014-12,1082589
Total,total,2015-01,602818
Total,total,2015-02,612946
Total,total,2015-03,758811
Total,total,2015-04,695965
Total,total,2015-05,789999
Total,total,2015-06,868634
Total,total,2015-07,630628
Total,total,2015-08,674736
Total,total,2015-09,728534
Total,total,2015-10,715482
Total,total,2015-11,904417
Total,total,2015-12,1142361
Total,total,2016-01,626184
Total,total,2016-02,686304
Total,total,2016-03,829374
Total,total,2016-04,739805
Total,total,2016-05,797697
Total,total,2016-06,879990
Total,total,2016-07,645430
Total,total,2016-08,629682
Total,total,2016-09,779910
Total,total,2016-10,759911
Total,total,2016-11,914424
Total,total,2016-12,1185494
Total,total,2017-01,696318
Total,total,2017-02,608797
Total,total,2017-03,863448
Total,total,2017-04,789348
Total,total,2017-05,814350
Total,total,2017-06,917203
Total,total,2017-07,683886
Total,total,2017-08,731503
Total,total,2017-09,776151
Total,total,2017-10,785667
Total,total,2017-11,983609
Total,total,2017-12,1238572
Total,total,2018-01,669652
Total,total,2018-02,686178
Total,total,2018-03,950291
Total,total,2018-04,774528
Total,total,2018-05,872265
Total,total,2018-06,955818
Total,total,2018-07,719883
Total,total,2018-08,780692
Total,total,2018-09,809744
Total,total,2018-10,832460
Total,total,2018-11,1043293
Total,total,2018-12,1283525
Total,total,2019-01,700668
Total,total,2019-02,729915
Total,total,2019-03,953556
Total,total,2019-04,811810
Total,total,2019-05,844277
Total,total,2019-06,1048217
Total,total,2019-07,738793
Total,total,2019-08,814768
Total,total,2019-09,848901
Total,total,2019-10,875060
Total,total,2019-11,1072972
Total,total,2019-12,1271780
Total,total,2020-01,759018
Total,total,2020-02,420253
Total,total,2020-03,207985
Total,total,2020-04,5237
Total,total,2020-05,6265
Total,total,2020-06,8528
Total,total,2020-07,10304
Total,total,2020-08,13078
Total,total,2020-09,16452
Total,total,2020-10,16512
Total,total,2020-11,28202
Total,total,2020-12,51173
Total,total,2021-01,39195
Total,total,2021-02,43352
Total,total,2021-03,56512
Total,total,2021-04,50834
Total,total,2021-05,48587
Total,total,2021-06,50251
Total,total,2021-07,52215
Total,total,2021-08,57612
Total,total,2021-09,75218
Total,total,2021-10,76646
Total,total,2021-11,109791
Total,total,2021-12,172894
Total,total,2022-01,118153
Total,total,2022-02,112134
Total,total,2022-03,155153
Total,total,2022-04,231568
Total,total,2022-05,345768
Total,total,2022-06,476079
Total,total,2022-07,422172
Total,total,2022-08,439189
Total,total,2022-09,544151
Total,total,2022-10,567367
Total,total,2022-11,741814
Total,total,2022-12,1000880
Total,total,2023-01,576907
Total,total,2023-02,523720
Total,total,2023-03,768181
Total,total,2023-04,657974
Total,total,2023-05,759199
Total,total,2023-06,969256
Total,total,2023-07,636036
Total,total,2023-08,656424
Total,total,2023-09,783624
Total,total,2023-10,777270
Total,total,2023-11,1036448
Total,total,2023-12,1243541
Total,total,2024-01,630922
Total,total,2024-02,707785
Total,total,2024-03,912527
Total,total,2024-04,715346
Total,total,2024-05,924270
Total,total,2024-06,1006556
Total,total,2024-07,671350
Total,total,2024-08,773796
Total,total,2024-09,775710
Total,total,2024-10,876244
Total,total,2024-11,1044344
Total,total,2024-12,1297252
Total,total,2025-01,720672
Total,total,2025-02,633163
Total,total,2025-03,893655
Total,total,2025-04,769936
Total,total,2025-05,904714
Total,total,2025-06,1110509
Total,total,2025-07,674440
Total,total,2025-08,710510
Total,total,2025-09,829040
Total,total,2025-10,926697
Total,total,2025-11,1105651
Total,total,2025-12,1395267
Total,total,2026-01,735146
Total,total,2026-02,697816
Total,total,2026-03,943879
Total,total,2026-04,822756
Total,total,2026-05,977103
Total,total,2026-06,1052216
