series,year,value
Children's Museum Singapore,2002,
Children's Museum Singapore,2001,
Children's Museum Singapore,2000,
Children's Museum Singapore,1999,
Children's Museum Singapore,1998,
Children's Museum Singapore,1997,
Changi Chapel And Museum,1996,
Changi Chapel And Museum,1995,
Changi Chapel And Museum,1994,
Changi Chapel And Museum,1993,
Changi Chapel And Museum,1992,
Changi Chapel And Museum,1991,
Changi Chapel And Museum,1990,
Changi Chapel And Museum,1989,
Changi Chapel And Museum,1988,
Changi Chapel And Museum,1987,
Changi Chapel And Museum,1986,
Changi Chapel And Museum,1985,
Changi Chapel And Museum,1984,
Changi Chapel And Museum,2024,47.5
Changi Chapel And Museum,2023,46.7
Changi Chapel And Museum,2022,
Changi Chapel And Museum,2021,
Changi Chapel And Museum,2020,
Changi Chapel And Museum,2019,
Changi Chapel And Museum,2018,
Changi Chapel And Museum,2017,
Changi Chapel And Museum,2016,
Changi Chapel And Museum,2015,
Changi Chapel And Museum,2014,
Changi Chapel And Museum,2013,
Changi Chapel And Museum,2012,
Changi Chapel And Museum,2011,
Changi Chapel And Museum,2010,
Changi Chapel And Museum,2009,
Changi Chapel And Museum,2008,
Changi Chapel And Museum,2007,
Changi Chapel And Museum,2006,
Changi Chapel And Museum,2005,
Changi Chapel And Museum,2004,
Changi Chapel And Museum,2003,
Changi Chapel And Museum,2002,
Changi Chapel And Museum,2001,
Changi Chapel And Museum,2000,
Changi Chapel And Museum,1999,
Changi Chapel And Museum,1998,
Changi Chapel And Museum,1997,
Reflections At Bukit Chandu,1996,
Reflections At Bukit Chandu,1995,
Reflections At Bukit Chandu,1994,
Reflections At Bukit Chandu,1993,
Reflections At Bukit Chandu,1992,
Reflections At Bukit Chandu,1991,
Reflections At Bukit Chandu,1990,
Reflections At Bukit Chandu,1989,
Reflections At Bukit Chandu,1988,
Reflections At Bukit Chandu,1987,
Reflections At Bukit Chandu,1986,
Reflections At Bukit Chandu,1985,
Reflections At Bukit Chandu,1984,
Reflections At Bukit Chandu,2024,29.1
Reflections At Bukit Chandu,2023,35.8
Reflections At Bukit Chandu,2022,
Reflections At Bukit Chandu,2021,
Reflections At Bukit Chandu,2020,
Reflections At Bukit Chandu,2019,
Reflections At Bukit Chandu,2018,
Reflections At Bukit Chandu,2017,
Reflections At Bukit Chandu,2016,
Reflections At Bukit Chandu,2015,
Reflections At Bukit Chandu,2014,
Reflections At Bukit Chandu,2013,
Reflections At Bukit Chandu,2012,
Reflections At Bukit Chandu,2011,
Reflections At Bukit Chandu,2010,
Reflections At Bukit Chandu,2009,
Reflections At Bukit Chandu,2008,
Reflections At Bukit Chandu,2007,
Reflections At Bukit Chandu,2006,
Reflections At Bukit Chandu,2005,
Reflections At Bukit Chandu,2004,
Reflections At Bukit Chandu,2003,
Reflections At Bukit Chandu,2002,
Reflections At Bukit Chandu,2001,
Reflections At Bukit Chandu,2000,
Reflections At Bukit Chandu,1999,
Reflections At Bukit Chandu,1998,
Reflections At Bukit Chandu,1997,
Former Ford Factory (In-Person),1996,
Former Ford Factory (In-Person),1995,
Former Ford Factory (In-Person),1994,
Former Ford Factory (In-Person),1993,
Former Ford Factory (In-Person),1992,
Former Ford Factory (In-Person),1991,
Former Ford Factory (In-Person),1990,
Former Ford Factory (In-Person),1989,
Former Ford Factory (In-Person),1988,
Former Ford Factory (In-Person),1987,
Former Ford Factory (In-Person),1986,
Former Ford Factory (In-Person),1985,
Former Ford Factory (In-Person),1984,
Former Ford Factory (In-Person),2024,
Former Ford Factory (In-Person),2023,
Former Ford Factory (In-Person),2022,
Former Ford Factory (In-Person),2021,41.2
Former Ford Factory (In-Person),2020,38.4
Former Ford Factory (In-Person),2019,90.0
Former Ford Factory (In-Person),2018,103.7
Former Ford Factory (In-Person),2017,105.4
Former Ford Factory (In-Person),2016,0.0
Former Ford Factory (In-Person),2015,42.4
Former Ford Factory (In-Person),2014,
Former Ford Factory (In-Person),2013,
Former Ford Factory (In-Person),2012,
Former Ford Factory (In-Person),2011,
Former Ford Factory (In-Person),2010,
Former Ford Factory (In-Person),2009,
Former Ford Factory (In-Person),2008,
Former Ford Factory (In-Person),2007,
Former Ford Factory (In-Person),2006,
Former Ford Factory (In-Person),2005,
Former Ford Factory (In-Person),2004,
Former Ford Factory (In-Person),2003,
Former Ford Factory (In-Person),2002,
Former Ford Factory (In-Person),2001,
Former Ford Factory (In-Person),2000,
Former Ford Factory (In-Person),1999,
Former Ford Factory (In-Person),1998,
Former Ford Factory (In-Person),1997,
Asian Civilisations Museum (Digital),1996,
Asian Civilisations Museum (Digital),1995,
Asian Civilisations Museum (Digital),1994,
Asian Civilisations Museum (Digital),1993,
Asian Civilisations Museum (Digital),1992,
Asian Civilisations Museum (Digital),1991,
Asian Civilisations Museum (Digital),1990,
Asian Civilisations Museum (Digital),1989,
Asian Civilisations Museum (Digital),1988,
Asian Civilisations Museum (Digital),1987,
Asian Civilisations Museum (Digital),1986,
Asian Civilisations Museum (Digital),1985,
Asian Civilisations Museum (Digital),1984,
Asian Civilisations Museum (Digital),2024,
Asian Civilisations Museum (Digital),2023,
Asian Civilisations Museum (Digital),2022,
Asian Civilisations Museum (Digital),2021,33312.9
Asian Civilisations Museum (Digital),2020,13545.0
Asian Civilisations Museum (Digital),2019,
Asian Civilisations Museum (Digital),2018,
Asian Civilisations Museum (Digital),2017,
Asian Civilisations Museum (Digital),2016,
Asian Civilisations Museum (Digital),2015,
Asian Civilisations Museum (Digital),2014,
Asian Civilisations Museum (Digital),2013,
Asian Civilisations Museum (Digital),2012,
Asian Civilisations Museum (Digital),2011,
Asian Civilisations Museum (Digital),2010,
Asian Civilisations Museum (Digital),2009,
Asian Civilisations Museum (Digital),2008,
Asian Civilisations Museum (Digital),2007,
Asian Civilisations Museum (Digital),2006,
Asian Civilisations Museum (Digital),2005,
Asian Civilisations Museum (Digital),2004,
Asian Civilisations Museum (Digital),2003,
Asian Civilisations Museum (Digital),2002,
Asian Civilisations Museum (Digital),2001,
Asian Civilisations Museum (Digital),2000,
Asian Civilisations Museum (Digital),1999,
Asian Civilisations Museum (Digital),1998,
Asian Civilisations Museum (Digital),1997,
National Museum Of Singapore (Digital),1996,
National Museum Of Singapore (Digital),1995,
National Museum Of Singapore (Digital),1994,
National Museum Of Singapore (Digital),1993,
National Museum Of Singapore (Digital),1992,
National Museum Of Singapore (Digital),1991,
National Museum Of Singapore (Digital),1990,
National Museum Of Singapore (Digital),1989,
National Museum Of Singapore (Digital),1988,
National Museum Of Singapore (Digital),1987,
National Museum Of Singapore (Digital),1986,
National Museum Of Singapore (Digital),1985,
National Museum Of Singapore (Digital),1984,
National Museum Of Singapore (Digital),2024,
National Museum Of Singapore (Digital),2023,
National Museum Of Singapore (Digital),2022,
National Museum Of Singapore (Digital),2021,116029.4
National Museum Of Singapore (Digital),2020,46538.2
National Museum Of Singapore (Digital),2019,
National Museum Of Singapore (Digital),2018,
National Museum Of Singapore (Digital),2017,
National Museum Of Singapore (Digital),2016,
National Museum Of Singapore (Digital),2015,
National Museum Of Singapore (Digital),2014,
National Museum Of Singapore (Digital),2013,
National Museum Of Singapore (Digital),2012,
National Museum Of Singapore (Digital),2011,
National Museum Of Singapore (Digital),2010,
National Museum Of Singapore (Digital),2009,
National Museum Of Singapore (Digital),2008,
National Museum Of Singapore (Digital),2007,
National Museum Of Singapore (Digital),2006,
National Museum Of Singapore (Digital),2005,
National Museum Of Singapore (Digital),2004,
National Museum Of Singapore (Digital),2003,
National Museum Of Singapore (Digital),2002,
National Museum Of Singapore (Digital),2001,
National Museum Of Singapore (Digital),2000,
National Museum Of Singapore (Digital),1999,
National Museum Of Singapore (Digital),1998,
National Museum Of Singapore (Digital),1997,
Singapore Art Museum (Digital),1996,
Singapore Art Museum (Digital),1995,
Singapore Art Museum (Digital),1994,
Singapore Art Museum (Digital),1993,
Singapore Art Museum (Digital),1992,
Singapore Art Museum (Digital),1991,
Singapore Art Museum (Digital),1990,
Singapore Art Museum (Digital),1989,
Singapore Art Museum (Digital),1988,
Singapore Art Museum (Digital),1987,
Singapore Art Museum (Digital),1986,
Singapore Art Museum (Digital),1985,
Singapore Art Museum (Digital),1984,
Singapore Art Museum (Digital),2024,
Singapore Art Museum (Digital),2023,
Singapore Art Museum (Digital),2022,93.3
Singapore Art Museum (Digital),2021,704.1
Singapore Art Museum (Digital),2020,1022.8
Singapore Art Museum (Digital),2019,
Singapore Art Museum (Digital),2018,
Singapore Art Museum (Digital),2017,
Singapore Art Museum (Digital),2016,
Singapore Art Museum (Digital),2015,
Singapore Art Museum (Digital),2014,
Singapore Art Museum (Digital),2013,
Singapore Art Museum (Digital),2012,
Singapore Art Museum (Digital),2011,
Singapore Art Museum (Digital),2010,
Singapore Art Museum (Digital),2009,
Singapore Art Museum (Digital),2008,
Singapore Art Museum (Digital),2007,
Singapore Art Museum (Digital),2006,
Singapore Art Museum (Digital),2005,
Singapore Art Museum (Digital),2004,
Singapore Art Museum (Digital),2003,
Singapore Art Museum (Digital),2002,
Singapore Art Museum (Digital),2001,
Singapore Art Museum (Digital),2000,
Singapore Art Museum (Digital),1999,
Singapore Art Museum (Digital),1998,
Singapore Art Museum (Digital),1997,
Peranakan Museum (Digital),1996,
Peranakan Museum (Digital),1995,
Peranakan Museum (Digital),1994,
Peranakan Museum (Digital),1993,
Peranakan Museum (Digital),1992,
Peranakan Museum (Digital),1991,
Peranakan Museum (Digital),1990,
Peranakan Museum (Digital),1989,
Peranakan Museum (Digital),1988,
Peranakan Museum (Digital),1987,
Peranakan Museum (Digital),1986,
Peranakan Museum (Digital),1985,
Peranakan Museum (Digital),1984,
Peranakan Museum (Digital),2024,
Peranakan Museum (Digital),2023,
Peranakan Museum (Digital),2022,
Peranakan Museum (Digital),2021,7257.9
Peranakan Museum (Digital),2020,121.0
Peranakan Museum (Digital),2019,
Peranakan Museum (Digital),2018,
Peranakan Museum (Digital),2017,
Peranakan Museum (Digital),2016,
Peranakan Museum (Digital),2015,
Peranakan Museum (Digital),2014,
Peranakan Museum (Digital),2013,
Peranakan Museum (Digital),2012,
Peranakan Museum (Digital),2011,
Peranakan Museum (Digital),2010,
Peranakan Museum (Digital),2009,
Peranakan Museum (Digital),2008,
Peranakan Museum (Digital),2007,
Peranakan Museum (Digital),2006,
Peranakan Museum (Digital),2005,
Peranakan Museum (Digital),2004,
Peranakan Museum (Digital),2003,
Peranakan Museum (Digital),2002,
Peranakan Museum (Digital),2001,
Peranakan Museum (Digital),2000,
Peranakan Museum (Digital),1999,
Peranakan Museum (Digital),1998,
Peranakan Museum (Digital),1997,
Singapore Discovery Centre (Digital),1996,
Singapore Discovery Centre (Digital),1995,
Singapore Discovery Centre (Digital),1994,
Singapore Discovery Centre (Digital),1993,
Singapore Discovery Centre (Digital),1992,
Singapore Discovery Centre (Digital),1991,
Singapore Discovery Centre (Digital),1990,
Singapore Discovery Centre (Digital),1989,
Singapore Discovery Centre (Digital),1988,
Singapore Discovery Centre (Digital),1987,
Singapore Discovery Centre (Digital),1986,
Singapore Discovery Centre (Digital),1985,
Singapore Discovery Centre (Digital),1984,
Singapore Discovery Centre (Digital),2024,
Singapore Discovery Centre (Digital),2023,97.6
Singapore Discovery Centre (Digital),2022,40.1
Singapore Discovery Centre (Digital),2021,150.4
Singapore Discovery Centre (Digital),2020,81.9
Singapore Discovery Centre (Digital),2019,
Singapore Discovery Centre (Digital),2018,
Singapore Discovery Centre (Digital),2017,
Singapore Discovery Centre (Digital),2016,
Singapore Discovery Centre (Digital),2015,
Singapore Discovery Centre (Digital),2014,
Singapore Discovery Centre (Digital),2013,
Singapore Discovery Centre (Digital),2012,
Singapore Discovery Centre (Digital),2011,
Singapore Discovery Centre (Digital),2010,
Singapore Discovery Centre (Digital),2009,
Singapore Discovery Centre (Digital),2008,
Singapore Discovery Centre (Digital),2007,
Singapore Discovery Centre (Digital),2006,
Singapore Discovery Centre (Digital),2005,
Singapore Discovery Centre (Digital),2004,
Singapore Discovery Centre (Digital),2003,
Singapore Discovery Centre (Digital),2002,
Singapore Discovery Centre (Digital),2001,
Singapore Discovery Centre (Digital),2000,
Singapore Discovery Centre (Digital),1999,
Singapore Discovery Centre (Digital),1998,
Singapore Discovery Centre (Digital),1997,
Indian Heritage Centre (Digital),1996,
Indian Heritage Centre (Digital),1995,
Indian Heritage Centre (Digital),1994,
Indian Heritage Centre (Digital),1993,
Indian Heritage Centre (Digital),1992,
Indian Heritage Centre (Digital),1991,
Indian Heritage Centre (Digital),1990,
Indian Heritage Centre (Digital),1989,
Indian Heritage Centre (Digital),1988,
Indian Heritage Centre (Digital),1987,
Indian Heritage Centre (Digital),1986,
Indian Heritage Centre (Digital),1985,
Indian Heritage Centre (Digital),1984,
Indian Heritage Centre (Digital),2024,
Indian Heritage Centre (Digital),2023,
Indian Heritage Centre (Digital),2022,
Indian Heritage Centre (Digital),2021,13542.7
Indian Heritage Centre (Digital),2020,4955.4
Indian Heritage Centre (Digital),2019,
Indian Heritage Centre (Digital),2018,
Indian Heritage Centre (Digital),2017,
Indian Heritage Centre (Digital),2016,
Indian Heritage Centre (Digital),2015,
Indian Heritage Centre (Digital),2014,
Indian Heritage Centre (Digital),2013,
Indian Heritage Centre (Digital),2012,
Indian Heritage Centre (Digital),2011,
Indian Heritage Centre (Digital),2010,
Indian Heritage Centre (Digital),2009,
Indian Heritage Centre (Digital),2008,
Indian Heritage Centre (Digital),2007,
Indian Heritage Centre (Digital),2006,
Indian Heritage Centre (Digital),2005,
Indian Heritage Centre (Digital),2004,
Indian Heritage Centre (Digital),2003,
Indian Heritage Centre (Digital),2002,
Indian Heritage Centre (Digital),2001,
Indian Heritage Centre (Digital),2000,
Indian Heritage Centre (Digital),1999,
Indian Heritage Centre (Digital),1998,
Indian Heritage Centre (Digital),1997,
Malay Heritage Centre (Digital),1996,
Malay Heritage Centre (Digital),1995,
Malay Heritage Centre (Digital),1994,
Malay Heritage Centre (Digital),1993,
Malay Heritage Centre (Digital),1992,
Malay Heritage Centre (Digital),1991,
Malay Heritage Centre (Digital),1990,
Malay Heritage Centre (Digital),1989,
Malay Heritage Centre (Digital),1988,
Malay Heritage Centre (Digital),1987,
Malay Heritage Centre (Digital),1986,
Malay Heritage Centre (Digital),1985,
Malay Heritage Centre (Digital),1984,
Malay Heritage Centre (Digital),2024,
Malay Heritage Centre (Digital),2023,
Malay Heritage Centre (Digital),2022,
Malay Heritage Centre (Digital),2021,7181.8
Malay Heritage Centre (Digital),2020,8744.2
Malay Heritage Centre (Digital),2019,
Malay Heritage Centre (Digital),2018,
Malay Heritage Centre (Digital),2017,
Malay Heritage Centre (Digital),2016,
Malay Heritage Centre (Digital),2015,
Malay Heritage Centre (Digital),2014,
Malay Heritage Centre (Digital),2013,
Malay Heritage Centre (Digital),2012,
Malay Heritage Centre (Digital),2011,
Malay Heritage Centre (Digital),2010,
Malay Heritage Centre (Digital),2009,
Malay Heritage Centre (Digital),2008,
Malay Heritage Centre (Digital),2007,
Malay Heritage Centre (Digital),2006,
Malay Heritage Centre (Digital),2005,
Malay Heritage Centre (Digital),2004,
Malay Heritage Centre (Digital),2003,
Malay Heritage Centre (Digital),2002,
Malay Heritage Centre (Digital),2001,
Malay Heritage Centre (Digital),2000,
Malay Heritage Centre (Digital),1999,
Malay Heritage Centre (Digital),1998,
Malay Heritage Centre (Digital),1997,
National Gallery Singapore (Digital),1996,
National Gallery Singapore (Digital),1995,
National Gallery Singapore (Digital),1994,
National Gallery Singapore (Digital),1993,
National Gallery Singapore (Digital),1992,
National Gallery Singapore (Digital),1991,
National Gallery Singapore (Digital),1990,
National Gallery Singapore (Digital),1989,
National Gallery Singapore (Digital),1988,
National Gallery Singapore (Digital),1987,
National Gallery Singapore (Digital),1986,
National Gallery Singapore (Digital),1985,
National Gallery Singapore (Digital),1984,
National Gallery Singapore (Digital),2024,
National Gallery Singapore (Digital),2023,
National Gallery Singapore (Digital),2022,
National Gallery Singapore (Digital),2021,18585.8
National Gallery Singapore (Digital),2020,8526.4
National Gallery Singapore (Digital),2019,
National Gallery Singapore (Digital),2018,
National Gallery Singapore (Digital),2017,
National Gallery Singapore (Digital),2016,
National Gallery Singapore (Digital),2015,
National Gallery Singapore (Digital),2014,
National Gallery Singapore (Digital),2013,
National Gallery Singapore (Digital),2012,
National Gallery Singapore (Digital),2011,
National Gallery Singapore (Digital),2010,
National Gallery Singapore (Digital),2009,
National Gallery Singapore (Digital),2008,
National Gallery Singapore (Digital),2007,
National Gallery Singapore (Digital),2006,
National Gallery Singapore (Digital),2005,
National Gallery Singapore (Digital),2004,
National Gallery Singapore (Digital),2003,
National Gallery Singapore (Digital),2002,
National Gallery Singapore (Digital),2001,
National Gallery Singapore (Digital),2000,
National Gallery Singapore (Digital),1999,
National Gallery Singapore (Digital),1998,
National Gallery Singapore (Digital),1997,
Sun Yat Sen Nanyang Memorial Hall (Digital),1996,
Sun Yat Sen Nanyang Memorial Hall (Digital),1995,
Sun Yat Sen Nanyang Memorial Hall (Digital),1994,
Sun Yat Sen Nanyang Memorial Hall (Digital),1993,
Sun Yat Sen Nanyang Memorial Hall (Digital),1992,
Sun Yat Sen Nanyang Memorial Hall (Digital),1991,
Sun Yat Sen Nanyang Memorial Hall (Digital),1990,
Sun Yat Sen Nanyang Memorial Hall (Digital),1989,
Sun Yat Sen Nanyang Memorial Hall (Digital),1988,
Sun Yat Sen Nanyang Memorial Hall (Digital),1987,
Sun Yat Sen Nanyang Memorial Hall (Digital),1986,
Sun Yat Sen Nanyang Memorial Hall (Digital),1985,
Sun Yat Sen Nanyang Memorial Hall (Digital),1984,
Sun Yat Sen Nanyang Memorial Hall (Digital),2024,
Sun Yat Sen Nanyang Memorial Hall (Digital),2023,
Sun Yat Sen Nanyang Memorial Hall (Digital),2022,
Sun Yat Sen Nanyang Memorial Hall (Digital),2021,17676.5
Sun Yat Sen Nanyang Memorial Hall (Digital),2020,9178.3
Sun Yat Sen Nanyang Memorial Hall (Digital),2019,
Sun Yat Sen Nanyang Memorial Hall (Digital),2018,
Sun Yat Sen Nanyang Memorial Hall (Digital),2017,
Sun Yat Sen Nanyang Memorial Hall (Digital),2016,
Sun Yat Sen Nanyang Memorial Hall (Digital),2015,
Sun Yat Sen Nanyang Memorial Hall (Digital),2014,
Sun Yat Sen Nanyang Memorial Hall (Digital),2013,
Sun Yat Sen Nanyang Memorial Hall (Digital),2012,
Sun Yat Sen Nanyang Memorial Hall (Digital),2011,
Sun Yat Sen Nanyang Memorial Hall (Digital),2010,
Sun Yat Sen Nanyang Memorial Hall (Digital),2009,
Sun Yat Sen Nanyang Memorial Hall (Digital),2008,
Sun Yat Sen Nanyang Memorial Hall (Digital),2007,
Sun Yat Sen Nanyang Memorial Hall (Digital),2006,
Sun Yat Sen Nanyang Memorial Hall (Digital),2005,
Sun Yat Sen Nanyang Memorial Hall (Digital),2004,
Sun Yat Sen Nanyang Memorial Hall (Digital),2003,
Sun Yat Sen Nanyang Memorial Hall (Digital),2002,
Sun Yat Sen Nanyang Memorial Hall (Digital),2001,
Sun Yat Sen Nanyang Memorial Hall (Digital),2000,
Sun Yat Sen Nanyang Memorial Hall (Digital),1999,
Sun Yat Sen Nanyang Memorial Hall (Digital),1998,
Sun Yat Sen Nanyang Memorial Hall (Digital),1997,
Former Ford Factory (Digital),1996,
Former Ford Factory (Digital),1995,
Former Ford Factory (Digital),1994,
Former Ford Factory (Digital),1993,
Former Ford Factory (Digital),1992,
Former Ford Factory (Digital),1991,
Former Ford Factory (Digital),1990,
Former Ford Factory (Digital),1989,
Former Ford Factory (Digital),1988,
Former Ford Factory (Digital),1987,
Former Ford Factory (Digital),1986,
Former Ford Factory (Digital),1985,
Former Ford Factory (Digital),1984,
Former Ford Factory (Digital),2024,
Former Ford Factory (Digital),2023,
Former Ford Factory (Digital),2022,
Former Ford Factory (Digital),2021,24.2
Former Ford Factory (Digital),2020,1.2
Former Ford Factory (Digital),2019,
Former Ford Factory (Digital),2018,
Former Ford Factory (Digital),2017,
Former Ford Factory (Digital),2016,
Former Ford Factory (Digital),2015,
Former Ford Factory (Digital),2014,
Former Ford Factory (Digital),2013,
Former Ford Factory (Digital),2012,
Former Ford Factory (Digital),2011,
Former Ford Factory (Digital),2010,
Former Ford Factory (Digital),2009,
Former Ford Factory (Digital),2008,
Former Ford Factory (Digital),2007,
Former Ford Factory (Digital),2006,
Former Ford Factory (Digital),2005,
Former Ford Factory (Digital),2004,
Former Ford Factory (Digital),2003,
Former Ford Factory (Digital),2002,
Former Ford Factory (Digital),2001,
Former Ford Factory (Digital),2000,
Former Ford Factory (Digital),1999,
Former Ford Factory (Digital),1998,
Former Ford Factory (Digital),1997,
