DataSeries,1990Nov,1990Oct,1990Sep,1990Aug,1990Jul,1990Jun,1990May,1990Apr,1997Mar,1997Feb,1997Jan,1996Dec,1996Nov,1996Oct,1996Sep,1996Aug,1996Jul,1996Jun,1996May,1996Apr,1996Mar,1996Feb,1996Jan,1995Dec,1995Nov,1995Oct,1995Sep,1995Aug,1995Jul,1995Jun,1995May,1995Apr,1995Mar,1995Feb,1995Jan,1994Dec,1994Nov,1994Oct,1994Sep,1994Aug,1994Jul,1994Jun,1994May,1994Apr,1994Mar,1994Feb,1994Jan,1993Dec,1993Nov,1993Oct,1993Sep,1993Aug,1993Jul,1993Jun,1993May,1993Apr,1993Mar,1993Feb,1993Jan,1992Dec,1992Nov,1992Oct,1992Sep,1992Aug,1992Jul,1992Jun,1992May,1992Apr,1992Mar,1992Feb,1992Jan,1991Dec,1991Nov,1991Oct,1991Sep,1991Aug,1991Jul,1991Jun,1991May,1991Apr,1991Mar,1991Feb,1991Jan,1990Dec,2025Nov,2025Oct,2025Sep,2025Aug,2025Jul,2025Jun,2025May,2025Apr,2025Mar,2025Feb,2025Jan,2024Dec,2024Nov,2024Oct,2024Sep,2024Aug,2024Jul,2024Jun,2024May,2024Apr,2024Mar,2024Feb,2024Jan,2023Dec,2023Nov,2023Oct,2023Sep,2023Aug,2023Jul,2023Jun,2023May,2023Apr,2023Mar,2023Feb,2023Jan,2022Dec,2022Nov,2022Oct,2022Sep,2022Aug,2022Jul,2022Jun,2022May,2022Apr,2022Mar,2022Feb,2022Jan,2021Dec,2021Nov,2021Oct,2021Sep,2021Aug,2021Jul,2021Jun,2021May,2021Apr,2021Mar,2021Feb,2021Jan,2020Dec,2020Nov,2020Oct,2020Sep,2020Aug,2020Jul,2020Jun,2020May,2020Apr,2020Mar,2020Feb,2020Jan,2019Dec,2019Nov,2019Oct,2019Sep,2019Aug,2019Jul,2019Jun,2019May,2019Apr,2019Mar,2019Feb,2019Jan,2018Dec,2018Nov,2018Oct,2018Sep,2018Aug,2018Jul,2018Jun,2018May,2018Apr,2018Mar,2018Feb,2018Jan,2017Dec,2017Nov,2017Oct,2017Sep,2017Aug,2017Jul,2017Jun,2017May,2017Apr,2017Mar,2017Feb,2017Jan,2016Dec,2016Nov,2016Oct,2016Sep,2016Aug,2016Jul,2016Jun,2016May,2016Apr,2016Mar,2016Feb,2016Jan,2015Dec,2015Nov,2015Oct,2015Sep,2015Aug,2015Jul,2015Jun,2015May,2015Apr,2015Mar,2015Feb,2015Jan,2014Dec,2014Nov,2014Oct,2014Sep,2014Aug,2014Jul,2014Jun,2014May,2014Apr,2014Mar,2014Feb,2014Jan,2013Dec,2013Nov,2013Oct,2013Sep,2013Aug,2013Jul,2013Jun,2013May,2013Apr,2013Mar,2013Feb,2013Jan,2012Dec,2012Nov,2012Oct,2012Sep,2012Aug,2012Jul,2012Jun,2012May,2012Apr,2012Mar,2012Feb,2012Jan,2011Dec,2011Nov,2011Oct,2011Sep,2011Aug,2011Jul,2011Jun,2011May,2011Apr,2011Mar,2011Feb,2011Jan,2010Dec,2010Nov,2010Oct,2010Sep,2010Aug,2010Jul,2010Jun,2010May,2010Apr,2010Mar,2010Feb,2010Jan,2009Dec,2009Nov,2009Oct,2009Sep,2009Aug,2009Jul,2009Jun,2009May,2009Apr,2009Mar,2009Feb,2009Jan,2008Dec,2008Nov,2008Oct,2008Sep,2008Aug,2008Jul,2008Jun,2008May,2008Apr,2008Mar,2008Feb,2008Jan,2007Dec,2007Nov,2007Oct,2007Sep,2007Aug,2007Jul,2007Jun,2007May,2007Apr,2007Mar,2007Feb,2007Jan,2006Dec,2006Nov,2006Oct,2006Sep,2006Aug,2006Jul,2006Jun,2006May,2006Apr,2006Mar,2006Feb,2006Jan,2005Dec,2005Nov,2005Oct,2005Sep,2005Aug,2005Jul,2005Jun,2005May,2005Apr,2005Mar,2005Feb,2005Jan,2004Dec,2004Nov,2004Oct,2004Sep,2004Aug,2004Jul,2004Jun,2004May,2004Apr,2004Mar,2004Feb,2004Jan,2003Dec,2003Nov,2003Oct,2003Sep,2003Aug,2003Jul,2003Jun,2003May,2003Apr,2003Mar,2003Feb,2003Jan,2002Dec,2002Nov,2002Oct,2002Sep,2002Aug,2002Jul,2002Jun,2002May,2002Apr,2002Mar,2002Feb,2002Jan,2001Dec,2001Nov,2001Oct,2001Sep,2001Aug,2001Jul,2001Jun,2001May,2001Apr,2001Mar,2001Feb,2001Jan,2000Dec,2000Nov,2000Oct,2000Sep,2000Aug,2000Jul,2000Jun,2000May,2000Apr,2000Mar,2000Feb,2000Jan,1999Dec,1999Nov,1999Oct,1999Sep,1999Aug,1999Jul,1999Jun,1999May,1999Apr,1999Mar,1999Feb,1999Jan,1998Dec,1998Nov,1998Oct,1998Sep,1998Aug,1998Jul,1998Jun,1998May,1998Apr,1998Mar,1998Feb,1998Jan,1997Dec,1997Nov,1997Oct,1997Sep,1997Aug,1997Jul,1997Jun,1997May,1997Apr
Asian Civilisations Museum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,46.4,43,34.8,40.2,41.3,39.6,49.4,32.3,31.9,37.8,38.4,22.7,34.1,36.2,25.7,39.3,39.2,33.1,34.7,28.5,37.7,38.8,35.6,25.9,35.1,33.1,32.1,39,43.7,33.5,38.5,31.4,40,31.4,33.4,27.1,32.7,39.1,32.4,31.9,31.9,30,23.6,19.3,17.1,14.4,18.8,20.1,15.2,14.4,17.8,15.7,15.8,11.4,15.3,21.1,23,17.9,19.4,23.1,17.8,13.9,12,12.8,10,1.9,0,1.4,14.8,28.9,45.9,44,50.5,56,63.7,64,65,58.1,47.4,48.5,65.9,55.2,52,41.4,43.7,49.7,37.3,42.3,46.7,44.1,48.8,45.6,46.4,36.9,41.9,34.4,33.2,36.9,28.9,41.3,43.4,48,49.9,42.5,37.4,40.5,52.2,40.3,40.4,53.6,50.8,42.5,40.7,32.7,45,46.3,68.9,38.3,34.8,23.7,39.7,39.5,19.7,45.9,30,24.5,23.3,25.1,26,25.9,26.3,27.3,27.3,33.2,27.9,28.4,44.8,25.7,38.6,46.5,49.4,37.7,36.5,30.5,39.3,42.6,40.9,42.3,35.2,34.3,36.7,36.3,44.5,33.8,36,36.8,35.4,56.9,38.1,45.6,41.8,36.5,44.7,56.9,46.3,45.6,40.2,46.2,42.3,101.8,65.9,113.9,92.6,55.2,49.3,51.2,74.9,59.5,61.7,70.3,65.5,80.2,63.7,71,72.5,69.3,85.2,48,65.4,47.1,39,52.2,62.2,61.1,42.1,57.8,49.7,93,83.9,67.5,83.2,42.3,44,50.6,57.6,58.1,45.4,58.7,63.5,53.8,76.8,49.6,74.6,55.6,53.4,47,57.5,51.1,43.2,46.6,50.1,38.1,46.4,50.7,52.7,50.1,41.5,35.9,43.4,45.5,43.4,40.9,47.4,36.6,45.5,54.2,17.7,11.3,16.1,16.3,22,33.9,32.8,24.7,25,16.9,22.3,24.9,22.9,16.4,19,17.4,20.9,23.8,33.1,17,17.9,16,19.4,17,15.1,14.4,13.8,12.5,14.6,14.4,14,11.5,12.5,11,8.9,5.4,31.2,7.1,4.2,6.4,5.8,5.5,3.7,8.1,5.6,3.2,8.2,6.3,5.7,6.2,7.2,6,8,5,4.9,6.9,4.7,4.5,6.9,4.9,6.5,5.6,6.4,8.5,7.1,11.6,9,4.4,4.3,4,6.2,4,4.5,4.4,3.3,3.3,5,4.5,4.5,6.2,3.8,2.2,33.9,25.9,30.1,17.7,4.4,3.2,6.1,8,5.4,9.9,5.8,4.2,19.3,10,5.6,4,4.2,2.1,5.4,4.5,4.1,6.7,3.1,9.1,9.2,3.6
National Museum Of Singapore,na,na,na,na,na,na,na,na,25.4,18.2,17.1,18.1,36,22.7,13.9,17.5,12.7,18,21.2,15.4,22,30.2,24.1,46.1,55.5,32.8,23.7,29,20.1,18.9,14.9,14,14.4,10.9,12.7,19.3,39.4,29.4,27.2,24.9,25.6,14.2,16.2,20.6,26.4,18.3,11.6,13,23,17.8,14,16.3,27.1,27.7,22.1,21.4,26.7,18.9,15.2,9.9,21.7,12.3,19.3,21.6,17.6,19.5,29.8,21.9,24.8,23.9,15.5,21,34.2,20,19.2,20.8,17.1,20.5,16.3,21.7,27.4,18.4,19.1,28.1,65.3,96.5,83,167.7,119.1,65.9,76.1,55.0,53.9,74.8,102.1,62.7,59.4,80,70,155.7,139.7,73.3,68.2,58.3,69.6,99.5,80.4,66.7,68,79.3,75.9,150.4,107.8,106.5,91.2,70.1,67.8,65.7,71.3,72.5,73,82.2,62.8,100.4,84.2,84.5,51.8,36.7,43.9,36,31.7,56.3,30,24.6,25.7,27.2,24.7,20.5,21.8,27.2,32,21.5,22.9,84.4,84.3,28.6,19.7,31.6,28.6,3.9,0,2.2,31.9,42.3,73.4,65.7,64.4,81.7,69.2,186.6,133.6,116.3,66.6,72.1,85.6,82.9,74.6,68.9,68.4,79.5,68.9,131.8,86.5,82.9,80.2,67.4,80.3,74.6,70.2,66.6,60.8,83.3,60.8,190.1,72.4,64.1,58.3,49.2,60.7,69.5,65.7,64.6,56.2,56.7,62.7,93.9,55.2,89,76.9,60.3,50.8,50.4,60.7,60.1,50.9,50.7,45.4,108.9,56.2,76,84,89,56.3,46.2,50.9,49.6,50.9,50.5,63.7,102,74,75.3,84.3,62.4,71.4,112.2,105.7,113.9,103.5,104,108.3,194.7,106.3,97.6,79.3,70.4,82,74.5,64.7,55,74.8,77.8,75.7,105,78.6,67.3,79.7,72.7,62.2,58.4,78.9,61.4,72,80.4,59.4,90.8,76,119.5,110.8,70.8,64.9,49.1,77.5,64,68.8,76.4,60.7,71.3,79.9,62.4,68.1,57.8,104.1,60.2,73.5,71.9,80.2,95.2,88.4,72.3,94.3,70.6,62.4,61.9,57.1,49.9,53.8,56.2,56.9,64.7,54.6,67.4,124.5,73.5,84.3,68.6,92.4,75.8,53,56.8,62,54.3,65.5,63.2,56.9,55,61,57.9,53.1,40.3,49.1,83.5,2.9,28.5,10.9,6.5,3.8,5.4,0.7,2.8,1.1,7.3,5.2,4.3,11.4,5,9.2,7.1,7.6,5.1,8.9,12.4,8.5,6.9,4.9,4.7,9,6.6,6.3,7.2,8.4,6,6.8,12.4,10,6.1,4.1,5,5.7,6.8,7.1,8.3,4.6,1.1,1,10.5,19,24.7,15.1,19.5,28.5,27.5,18.7,25.2,23,19.9,41.2,24.7,25.9,20,17.3,18.3,28.3,20.9,20.1,24.6,19.2,18.9,27.2,21,28.3,19.3,21.8,36.4,40.6,36.3,31.1,24.7,21.6,15,22.8,17.6,26.5,18.9,17.3,27.3,46.1,33.9,23.4,29.5,31.6,29,36.6,21.3,21.1,17.4,17.9,13.8,23.9,22.5,17.7,22.3,19.4,18.5,31.5,21.8,20,16.5,14.5,13.7,27.7,20.4,17.6,32.1,20.9,23.8,22.3,23.4
Singapore Art Museum,na,na,na,na,na,na,na,na,7.9,12.8,17.5,14.2,12,11.8,4.9,10,8.4,7.6,8.1,6,9,7.4,5.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,49.3,49.8,83.0,67.1,67.3,57.8,63.1,75.2,256.4,80.6,80.8,76,73.2,57.4,133.6,335.9,246.6,62.9,135.5,63.8,277.9,66,64.3,66.1,57.8,64.1,73.8,76.5,114,94.4,92.6,55.6,182.7,44.8,25.4,28.3,27.1,26.1,36,25.5,39.5,16.3,4.1,28.9,28.6,20.8,18.9,17.7,9.3,60.8,152.2,179.4,59.1,27.9,15,15.3,15.2,0,7.4,17.2,2.8,0,54.5,97.9,148.8,131.9,54.9,3.5,56.7,46.3,187.1,39,36,40.8,56.7,50.6,87.6,73.3,37.4,29.9,16.2,84.7,43.9,41.7,31.7,50,59.4,21.9,29.5,19.7,20,21.8,12,69.2,30.7,37.6,38.7,11.5,24.6,67.4,61.5,61.2,68,55.9,34.3,128,69.7,83.7,75.5,35.8,38.8,34.7,47.2,45.5,55.1,64.8,58.5,143.5,83.3,95.6,82.7,72.9,67.2,49.8,84.3,58.7,64.9,68.4,47.7,109.3,48.4,49.6,52.4,54.7,50.6,67.5,71.7,61.2,72.6,62.8,41.1,113.5,65.7,90.3,54.2,39.3,44.3,37.5,46.4,41.5,43.2,41.2,51.4,106.7,67.6,72.1,55.8,49.2,47.7,39.2,40.6,39.8,42,51.9,56,93.6,53.8,56.2,49.5,53.7,51.8,39.6,48.7,50.7,42.7,50.3,48.3,50.3,86.1,59.7,66.1,51.9,45.5,37.8,50.5,47.9,51,53.7,76,75.9,85,50.9,78.1,59.4,59.3,55.2,51.2,63.7,71.7,71.1,46.6,54.3,64.3,50.4,49.7,27.8,35,21.7,21.6,23,24.4,30.1,18,29.5,28.1,26.1,27,25.1,20.5,17.8,23.3,19.8,24.4,24.7,26.2,24.9,27.9,31.5,35.3,28.2,26.3,21.6,23.6,28.8,26.1,25.5,22.8,30.5,32.3,26.7,24.5,22.5,23.7,38.6,44.7,35.5,30.7,30.3,31.4,28.1,30.1,29.2,29.9,25.4,21.9,22.1,23.2,20,18.5,19.5,16.6,21.5,10.4,7.8,4.8,4.3,9.2,9.5,7.3,9.9,11.6,8,8.8,27.5,13.3,11.1,10.6,5.5,6.6,5.3,9.5,9.3,18.7,12.3,9.3,14.6,8.6,7.5,9.9,9.6,12.8,16,9.2,9.2,11.3,16.6,6.3,11.1,10.3,10.4,9.4,8.6,16.9,10.5,13.3,22.1,11.3,10.1,8.3,26,10,6,37.1,29.6,7.6,5.3,7.4,5,7.8,39.9,12.8,23.4,15.1,12.5,16.6,7.6,6.7,9.7,26.4,15.4,17.9,19.7,7,17.9,14.7,9.6,11.7,7.5
Peranakan Museum,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10.7,10.9,12,22.8,13,13.7,16.1,18.2,23.8,10.9,11.4,9.1,10.3,11.9,15.5,23.9,15.3,13.7,13.8,10.5,18.4,13.3,11.6,9.9,10.3,10.8,10.2,28.5,13.1,16.2,16.1,14.2,16.3,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,14.7,15.1,12.5,13.6,14.6,14.4,38.4,18.5,15.6,16.2,19.9,18.7,15.9,15,24.9,25.6,26.8,27,72.3,39.3,39.1,38.9,38,59.5,40.5,41.2,41.2,39.9,41.4,42.3,122.9,37.5,27.2,29.9,28.3,43.2,25.3,29.3,33,32.6,33.1,32.5,93.5,39.8,36.8,38.3,33.2,36,32.5,34.3,29.8,31,30.9,31.9,80,37,32.2,27.5,25.4,27.6,30.2,33.5,36.9,39.1,35.8,30.3,68.8,35,38.3,28.2,17.7,14.7,14,15,13.2,17.9,14.9,26.1,41.7,21.8,29.9,19.5,22,19.2,25.2,18.6,14.3,28.8,18.3,14.9,29,18.3,25.8,16.8,14.6,16.6,22.1,14.8,14.4,18.3,16.7,15.5,26,23.1,18.8,20.6,18.8,22.5,13.7,16.5,23.4,22.2,19.4,24.3,17.9,22.3,18.3,23.5,26.9,19.6,30.6,22.3,15.1,17.9,16,10.8,23.5,30.2,15.9,32,10.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Science Centre Singapore,55.4,27.2,30.2,44.6,40.4,84.1,56.3,41.8,159.6,24.1,15.3,34.3,41.3,36.3,25.6,42.4,33.5,34.6,51.8,23.9,36.9,31.3,36,57.6,122.5,39.4,28.8,37.4,30.1,36,48.9,27.9,31.5,50.7,32.1,58.4,102.7,32.5,36.8,50.6,40.9,39.9,48.5,31,49.4,22.4,16.4,38,87.9,31.6,33.9,37.6,41.9,55.8,64.4,38.7,50.5,28.3,25.3,40.9,76.4,35.6,34.2,44.2,40,51.4,62.4,37.1,40.4,31.8,20.6,39.7,90.1,41.2,41,32.5,37.8,44.8,68.4,37.1,61.5,28.8,20.2,35.7,na,na,123.3,127.9,110.6,91,83.5,106.3,75.3,67.6,77.4,70.8,101.6,72.9,64.7,92.9,103.5,93,105.4,91.5,62.8,54.3,49.9,48.8,32.5,32.3,31,51.7,58.2,57.2,31.8,37.2,36.1,18.5,25,49.7,29.8,33.9,35.3,25.6,32.5,64.1,38.8,29.1,32.8,16.5,21.5,63.4,24.6,14.3,22.5,11.6,15.6,14.1,7.8,16,21.3,9.7,15.4,56.6,21.3,11.6,19.3,10.5,6.3,0,0,1.9,18.8,31.5,65.3,68.2,59.8,77,96.3,125,129.1,108.4,73.8,63.4,88.5,66.7,71.4,70.5,63.3,68.1,69.7,97.2,97.6,78,68.7,49,65.7,77.7,57.6,81.5,55.9,69.2,51.5,88.6,94.6,81.5,63.5,59.2,80.1,70.4,78.7,114.5,95,69,57.9,86.3,87.4,83,73.7,66.5,81.6,76.8,64.1,100.1,78.9,69,67.3,191.4,94.2,75.9,87.6,78.9,75.5,68.9,58.3,128.4,86,70.8,64,99.2,130.2,108.7,52.7,41.2,52.6,58.6,59.9,111.7,116.8,63.7,45.4,88.7,84.4,85.4,69.7,49.6,56.7,59.9,67.5,127.7,89.7,83.7,50.9,68.3,83.5,95.9,74.7,55,68.7,90.8,80.2,144.9,99.1,71.6,49,80.1,80.1,98.8,88.9,73.2,72.4,93.2,102.6,179.8,101.4,67.1,62.4,51.4,66.6,124.1,98.8,94.1,90.3,106.8,82.7,145.3,116.8,66,81.6,107.3,90.7,126.6,73.5,55.6,86,46.3,63.6,116.9,129.6,82.2,67.7,89,99.5,128,101.2,46.4,67.9,70.1,40.9,126.4,68.2,49.2,102.6,93.2,82.3,83.1,68.3,51.1,67.4,41,47.5,92.3,54.6,51,82.1,112.3,111.2,153.3,89.7,62.2,85.6,41.5,53.1,116,79.9,41.9,66.3,49,61.3,75.8,72.6,44.9,62.5,41.4,72.3,93.5,72,37,38.4,30.5,39.7,85.2,104.8,91.7,107.4,58.7,47.4,58.4,50.3,43.8,60.1,45.7,45.3,68.2,15.4,11.2,45.1,27.7,15.1,64.2,39,37.6,53.2,41.2,35.4,67.4,56.5,28.5,50.3,22.5,20,54.6,45.9,32.6,58.9,49.9,38.9,36.4,51.8,36.7,52.2,40.4,22.2,50.1,51.1,28.6,36.1,29.5,31.5,43.3,68.6,38.2,68.6,26,17.9,40.7,60.8,55.8,32.7,30.6,32.6,36.5,52.1,31.6,95.8,25.2,15.8,36.3,42.4,41.4,35.6,27.8,32.2,46.9,65.3,43.6,40.8,34.8,22.3,32.6,117.7,40.4,40.2,30.6,31.1,43.1,63,39.8
Mandai Bird Paradise,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,71.6,75.6,86.8,73.5,76.8,81.4,73.1,77.2,67.1,77.1,92.4,83.7,76.1,70.6,88.5,90.7,97.1,76.1,57.4,90.4,71.5,60.7,102.8,95.8,77.5,84.6,89.4,91.2,121.5,105,13.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Night Safari,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,84.2,73.7,141.5,127.7,90.4,100.3,84.8,76.2,86.5,105.1,85,63,87.7,74.9,148.7,141.3,101.9,97.5,79.2,88.5,98.1,75.4,73.5,55.1,74.1,63.8,119.2,115.8,76.9,71.7,73.7,58.1,49.2,56.2,70.8,44.9,56.9,52.2,52.7,59.1,54.6,40.3,29.9,29.5,18.9,24.4,48.2,19,18.9,21.7,16.2,19.3,21.9,16.2,27.8,46.4,21.7,22.4,64.4,25.1,28.8,20.8,21.8,2.4,0,0,1,23.8,42.7,112.3,106.2,81.4,99.2,83.2,158.3,141.1,115.9,111,101.9,96.4,113,110.5,109.6,87.4,96.2,86.7,156,141.1,114.2,112.4,98.3,109.6,114.4,103.5,113.5,75.3,103.5,88.6,139.8,130,112.6,109.7,99.9,92.6,92.5,103.8,98,67.4,85.4,75,132.8,130,99.3,101,81.7,91,91.4,97.5,97,74.6,87.2,80.7,137.3,127.1,93.9,101.2,78.8,80.4,106.1,94.7,97.1,69.9,96.6,77.6,136.8,122.6,98.7,101.8,87.5,89.2,96.4,105.7,110,78,94.5,77.9,136.7,116.9,96.8,96.6,81.8,97.2,88.2,93.3,102.2,76.9,91.1,82.2,119,114.3,103.7,95.8,93.1,89.5,92,103.7,97.9,78.7,90.4,79.6,115.1,123.8,92,91.4,90.5,78.6,83,77.4,98.9,69.5,117.6,74.1,109.6,110.7,103.1,107.7,84.6,88.5,87.4,77.9,120.8,68.6,111.4,90.8,108.3,108,104.7,94.6,73.9,93,69.7,92.4,112.3,85,102.6,64.4,115.3,108.3,100.9,107,68,129.9,85.1,98.7,104.5,84,91.1,73.6,117.8,108.7,107.6,90.1,80.8,114.4,77,83.6,89.7,64.7,86.1,58.4,95.4,90,108.6,95.6,80.6,97.4,60.2,80.4,94.4,69.3,80.8,68.6,105,99.2,85.6,95.6,73.9,89.4,70.3,70.6,86,70,75.7,63.5,85.2,83.3,88.1,72,60.7,59.9,56.9,57.4,67,62.4,52.7,51.7,63.7,51.9,38.7,24.6,18.6,59.4,55.6,63.9,83.6,67.5,71.1,76.1,92,81.6,70.2,70.3,61.8,80.9,59,59.7,75.8,55.1,54.8,68.8,91.2,81.7,75.8,68.5,69.7,76.9,58,62.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
River Wonders,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,63.6,55.4,92.2,89.4,77.6,78.6,62.7,62.8,69,82.5,80.1,58.5,70.3,57.9,116,108.3,85.1,83.9,69.7,77.4,84.8,62.5,81.1,73,90.7,70.8,107.8,104.3,77.2,49.3,69.9,66.6,47.7,57.6,79.6,57.4,60.4,60.7,63.8,65.5,76.7,67.7,52.8,63.4,48.1,56.6,96.8,47,40.5,50.4,37.5,35.9,42.5,31.3,47.7,77.2,42.2,41,119.7,60.6,61.7,64.7,39,32.1,0,0,1.5,30.1,23.7,75,93.9,65.9,82,64.1,108.1,89.8,85.8,75,74.4,71.1,81.2,70.5,98.9,65.5,75,74.4,105.4,93.5,83.4,76.6,71.4,74.9,71.8,67.5,102,60.4,77.5,64.9,110.8,91.9,87.3,78.8,74.6,70.4,60.8,73.1,101.9,56.9,75.6,55.1,95.8,89.5,73.8,67.5,54.4,60.6,57.6,54.2,90.3,59.4,54.7,56.3,119.7,82.8,87.1,73.3,56.1,53.7,59.2,50.5,91,85.6,84.7,68.3,94.4,93.3,118,94.9,86.1,123,102.2,103,168.7,77.6,63.3,65.8,86.7,62.2,78.7,58.3,42,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
