name,status,est_year,stalls
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),Existing,,56.0
Toa Payoh Lorong 8 Blk 210,Existing,,80.0
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),Existing,,84.0
West Coast Drive Blk 502 (Ayer Rajah Market),Existing,,0.0
West Coast Drive Blk 503 (Ayer Rajah Food Centre),Existing,,80.0
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Existing,,103.0
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Existing,,80.0
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Existing,,52.0
Yishun Park Hawker Centre,Existing (new),,45.0
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),Existing,,56.0
Margaret Drive Hawker Centre,Existing (replacement),,38.0
Anchorvale Village Hawker Centre,Existing (new),,36.0
Fernvale Hawker Centre & Market,Existing (new),,28.0
One Punggol Hawker Centre,Existing (new),,34.0
Bukit Canberra Hawker Centre,Existing (new),,44.0
Punggol Coast Hawker Centre,Existing (new),,40.0
Senja Hawker Centre,Existing (new),,28.0
Buangkok Hawker Centre,Existing (new),,38.0
Bukit Batok West Hawker Centre,Existing (new),,22.0
Woodleigh Village Hawker Centre,Existing (new),,40.0
Bukit Timah Interim Hawker Centre and Market,Interim Centre,,78.0
Amoy Street Food Centre (Telok Ayer Food Centre),Existing,1983.0,134.0
Telok Blangah Hawker Centre & Market,Under Construction,2027.0,40.0
Bukit Timah Market,Under Construction,2029.0,82.0
Tampines North Hawker Centre,Under Construction,2030.0,40.0
Tanglin Halt Hawker Centre & Market,Under Construction,2029.0,0.0
Pasir Panjang Food Centre,Existing,1978.0,45.0
Bedok Food Centre,Existing,1971.0,32.0
Zion Riverside Food Centre,Existing,1976.0,32.0
Maxwell Food Centre (Kim Hua Market),Existing,1935.0,103.0
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Existing,1979.0,32.0
East Coast Lagoon Food Village,Existing,1978.0,63.0
Serangoon Garden Market,Existing,1957.0,46.0
Sembawang Hills Food Centre (Jalan Leban Food Centre),Existing,1974.0,36.0
Chong Pang Hawker Centre & Market,Under Construction,2027.0,58.0
Tanglin Halt Market,Existing,1964.0,28.0
Berseh Food Centre,Existing,1975.0,66.0
