ym,AUD,CNY,GBP,HKD,IDR,INR,JPY,KRW,MYR,PHP,THB,USD
2013-12,0.883947,4.8278550000000005,0.485053,6.162,9542.35,49.15695,82.15950000000001,839.165,2.5815349999999997,35.11465,25.7029,0.7947175
2014-01,0.8874449999999999,4.753759090909091,0.4771468181818182,6.093740909090909,9506.454545454546,48.77313636363636,81.64663636363638,839.0995454545454,2.59735,35.35640909090909,25.868454545454544,0.7854927272727273
2014-02,0.8801289999999999,4.802490000000001,0.47708449999999997,6.129595,9408.05,49.118700000000004,80.56815,845.6225000000001,2.61314,35.40835,25.76875,0.789725
2014-03,0.868922380952381,4.87262380952381,0.474912380952381,6.126033333333334,9014.190476190477,48.13619047619048,80.7875238095238,845.0971428571429,2.5901714285714283,35.346666666666664,25.561809523809522,0.7892919047619048
2014-04,0.8550380000000001,4.9571950000000005,0.4757525,6.17506,9110.0,48.060950000000005,81.647,830.9405,2.59374,35.5407,25.74595,0.7963345000000001
2014-05,0.8584380952380952,4.983357142857143,0.4743561904761905,6.193295238095239,9209.42857142857,47.37242857142857,81.29809523809524,818.6233333333333,2.579342857142857,35.055523809523805,25.997761904761905,0.7988966666666667
2014-06,0.853512380952381,4.9799476190476195,0.47277476190476186,6.195138095238096,9506.047619047618,47.74604761904762,81.56142857142856,814.5933333333332,2.5729523809523807,35.00947619047619,25.984714285714283,0.799187619047619
2014-07,0.857074347826087,4.989047826086956,0.4714043478260869,6.2369260869565215,9384.217391304348,48.326173913043476,81.85913043478261,821.6178260869565,2.5616652173913046,34.97408695652174,25.836043478260873,0.8047191304347826
2014-08,0.8606438095238095,4.9310285714285715,0.4796742857142857,6.2089285714285705,9386.761904761905,48.77123809523809,82.48761904761905,820.6580952380953,2.5452999999999997,35.08495238095238,25.654428571428575,0.8011
2014-09,0.8743195454545454,4.8607000000000005,0.48550227272727275,6.1378590909090915,9428.045454545454,48.215545454545456,84.93045454545455,819.9068181818183,2.5481954545454544,35.00059090909091,25.489590909090907,0.791715
2014-10,0.8936278260869566,4.805834782608696,0.4881760869565217,6.085604347826086,9526.739130434782,48.154304347826084,84.71304347826087,832.758695652174,2.565008695652174,35.16547826086957,25.46613043478261,0.7844821739130434
2014-11,0.8923479999999999,4.72457,0.48879150000000005,5.9800699999999996,9384.25,47.5829,89.671,847.2940000000001,2.581265,34.688100000000006,25.29415,0.771176
2014-12,0.9207514285714286,4.707880952380952,0.4862095238095238,5.898000000000001,9468.285714285714,47.72566666666667,90.70428571428572,838.7947619047618,2.6461809523809525,33.97957142857143,25.018809523809523,0.760565238095238
2015-01,0.9257776190476191,4.648852380952381,0.49327095238095237,5.7958,9402.42857142857,46.443666666666665,88.41714285714286,814.3914285714286,2.679261904761905,33.30985714285715,24.47752380952381,0.7475390476190477
2015-02,0.9470824999999999,4.613345,0.48143250000000004,5.722485,9429.7,45.79225,87.563,812.9765,2.654,32.61995,24.03065,0.7378775
2015-03,0.9393031818181818,4.534018181818182,0.48522363636363636,5.6376409090909085,9489.636363636364,45.42040909090909,87.44363636363636,808.6509090909091,2.6746954545454544,32.33663636363636,23.70668181818182,0.7266604545454546
2015-04,0.9587315000000001,4.598835,0.496028,5.746575,9595.15,46.5255,88.6825,804.9399999999999,2.69054,32.919850000000004,24.12245,0.7414015
2015-05,0.94906,4.647444999999999,0.4846505,5.807955,9844.25,47.785000000000004,90.55,819.9305,2.7006699999999997,33.42285,25.13635,0.7491825000000001
2015-06,0.9628077272727272,4.611063636363636,0.4776231818181818,5.760604545454545,9885.954545454546,47.43595454545454,91.93454545454546,827.4945454545455,2.7796499999999997,33.467636363636366,25.059454545454546,0.7430281818181819
2015-07,0.9914826086956523,4.559952173913044,0.4721347826086956,5.69325652173913,9832.260869565218,46.752478260869566,90.62695652173913,842.0695652173912,2.793604347826087,33.27208695652174,25.220565217391304,0.7344521739130434
2015-08,0.9804576190476191,4.534557142857143,0.45871142857142855,5.546161904761905,9868.380952380952,46.56933333333333,88.08952380952381,843.4033333333334,2.9070809523809524,33.09180952380952,25.342285714285715,0.7153761904761905
2015-09,1.001331818181818,4.5005999999999995,0.46054727272727275,5.476986363636364,10187.09090909091,46.79277272727273,84.92863636363637,837.5659090909091,3.0409,33.03572727272728,25.459636363636363,0.706695
2015-10,0.990830909090909,4.535640909090909,0.46589227272727274,5.53545,9841.0,46.47845454545455,85.72318181818183,817.4845454545455,3.0398727272727273,33.10418181818182,25.485636363636363,0.714245
2015-11,0.9887857142857142,4.505647619047619,0.46546333333333334,5.481285714285714,9674.333333333334,46.79795238095238,86.6895238095238,816.297142857143,3.051490476190476,33.290238095238095,25.316190476190474,0.707205238095238
2015-12,0.9796218181818183,4.581309090909091,0.47381727272727275,5.502677272727272,9847.136363636364,47.24545454545455,86.39636363636363,833.8177272727273,3.042327272727273,33.50718181818182,25.56027272727273,0.709949090909091
2016-01,0.996687,4.5881,0.48492499999999994,5.430960000000001,9684.55,47.04405,82.47,840.2845,3.03076,33.19545,25.22305,0.6979045
2016-02,0.9973742857142858,4.658661904761905,0.4973452380952381,5.535528571428571,9608.095238095239,48.54938095238096,81.651,865.5114285714286,2.9758999999999998,33.864666666666665,25.331904761904763,0.7112623809523809
2016-03,0.9721785714285713,4.736466666666667,0.5116957142857143,5.650185714285714,9594.57142857143,48.7302380952381,82.23428571428572,862.4038095238095,2.962304761904762,33.92142857142857,25.636095238095237,0.7279561904761904
2016-04,0.9669319047619047,4.798914285714285,0.5175566666666667,5.745619047619048,9754.57142857143,49.243952380952386,81.19166666666668,849.5919047619047,2.8894285714285712,34.360142857142854,25.986238095238097,0.7407400000000001
2016-05,0.9978722727272727,4.767309090909091,0.5019795454545455,5.667636363636364,9803.454545454546,48.859272727272725,79.52627272727273,858.0659090909091,2.953159090909091,34.175045454545455,25.858,0.7300254545454545
2016-06,0.9978631818181818,4.868686363636363,0.5200468181818182,5.732581818181818,9844.727272727272,49.697272727272725,77.89113636363636,861.9613636363637,3.009509090909091,34.31572727272727,26.060181818181817,0.7385245454545455
2016-07,0.9829538095238094,4.944309523809524,0.5626361904761905,5.743566666666667,9714.0,49.75295238095238,77.09828571428572,845.5966666666666,2.9749333333333334,34.853904761904765,25.951666666666668,0.74044
2016-08,0.9724839130434783,4.934391304347826,0.5661660869565217,5.756921739130434,9769.08695652174,49.67,75.13230434782609,824.5295652173913,2.9883304347826085,34.59395652173913,25.763217391304348,0.7422286956521739
2016-09,0.9689722727272727,4.90925,0.5592190909090909,5.706227272727273,9643.818181818182,49.09463636363636,74.9455,816.3177272727273,3.0253227272727274,35.01077272727272,25.546909090909093,0.7356868181818182
2016-10,0.9484128571428572,4.863385714285714,0.5859271428571429,5.606180952380952,9413.0,48.22614285714286,75.03180952380951,814.7538095238094,3.0176523809523808,34.938,25.343523809523813,0.7226938095238096
2016-11,0.940875,4.850395454545455,0.5704277272727273,5.498418181818182,9452.545454545454,47.96136363636364,76.77781818181819,825.0427272727272,3.0755409090909094,34.89995454545454,25.048318181818182,0.7089072727272727
2016-12,0.9484319047619048,4.821490476190476,0.5578590476190476,5.404066666666667,9338.47619047619,47.260619047619045,80.86061904761905,824.797619047619,3.105861904761905,34.67857142857143,24.925952380952385,0.6964933333333333
2017-01,0.9391999999999999,4.823077272727272,0.5674,5.4255272727272725,9345.181818181818,47.63286363636364,80.48759090909091,826.6654545454545,3.1182000000000003,34.79390909090909,24.807727272727274,0.6994709090909091
2017-02,0.922405,4.85856,0.566443,5.48587,9423.75,47.35455,79.82185,807.652,3.1408549999999997,35.34465,24.7489,0.7069460000000001
2017-03,0.9336947826086955,4.908517391304348,0.5765834782608696,5.527456521739131,9495.391304347826,46.84347826086957,80.38326086956522,806.8226086956522,3.1581565217391305,35.75804347826087,24.81865217391304,0.7116926086956521
2017-04,0.9496350000000001,4.927505555555555,0.5657088888888889,5.559122222222222,9513.5,46.148555555555554,78.88316666666667,810.6577777777778,3.1493166666666665,35.637055555555555,24.65116666666667,0.7150472222222223
2017-05,0.9646313636363636,4.935918181818182,0.5546954545454545,5.582809090909091,9550.681818181818,46.20590909090909,80.45831818181819,807.2245454545454,3.0935545454545452,35.72968181818182,24.704363636363635,0.7169118181818182
2017-06,0.9562404545454545,4.919831818181819,0.5644772727272728,5.635231818181818,9613.136363636364,46.572818181818185,80.16231818181818,818.0013636363636,3.091463636363636,36.06127272727272,24.56772727272727,0.722565
2017-07,0.9355561904761904,4.937509523809524,0.5612180952380952,5.692842857142857,9729.761904761905,46.98728571428572,82.00238095238095,826.6138095238096,3.1277809523809528,36.92519047619047,24.594142857142856,0.7289919047619048
